isToDelete,wordsAmt,likes,relevance,hoursOfDay
stay,2,1,0.26748475,23
stay,30,13,0.18789096,8
delete,4,0,0.0,16
stay,11,16,0.45474532,14
stay,10,0,0.02719066,15
delete,23,0,0.043021716,15
delete,1,0,0.023712637,15
delete,5,0,0.030574676,16
delete,2,0,0.26872563,19
delete,10,0,0.03580511,18
delete,4,0,0.06535145,19
stay,30,0,0.09390749,15
stay,15,1,0.2037713,15
stay,18,0,0.043768406,18
stay,8,45,0.08208002,13
delete,15,0,8.534224E-4,18
delete,1,0,0.0,19
stay,13,1,0.6670222,15
delete,9,0,0.043336455,18
stay,3,0,0.0,19
stay,9,67,0.037426453,16
stay,10,0,0.026233329,15
stay,3,0,0.17448495,14
delete,3,0,0.139236,18
stay,9,0,0.28546184,19
stay,6,5,0.26222286,0
stay,3,0,0.1126982,16
stay,21,0,0.078433126,17
stay,8,1,0.19256566,14
stay,179,0,0.09387454,19
stay,46,98,0.0672048,16
delete,1,0,0.0,15
stay,7,0,0.09952895,18
delete,18,0,0.0642506,17
delete,5,0,0.027919961,16
stay,5,24,0.0,13
stay,29,0,0.06342588,16
stay,17,0,0.068858445,17
stay,7,9,0.18293214,11
stay,6,27,0.22194347,15
delete,6,0,0.0,15
stay,10,0,0.051405802,15
delete,112,0,0.117139034,16
stay,56,42,0.09370707,13
stay,5,8,0.21370016,14
delete,1,0,0.0,15
stay,33,0,0.03900816,17
stay,19,19,0.3393124,8
stay,8,0,0.030585306,16
stay,12,0,0.05844869,19
stay,7,0,0.05593207,15
stay,9,0,0.11766988,16
stay,10,0,0.060125936,19
stay,8,0,0.21370016,15
stay,5,10,0.21799898,13
stay,1,29,0.0,13
stay,7,0,0.22960456,14
delete,14,0,0.026808154,15
stay,5,1,0.22174725,7
delete,2,0,0.054200314,16
stay,5,11,0.4443338,14
delete,12,0,0.019530833,19
stay,3,2,0.18671572,11
stay,6,0,0.37592614,14
stay,4,0,0.36240292,17
stay,6,7,0.40979964,6
stay,31,0,0.06673483,17
stay,2,1,0.16136003,13
stay,93,0,0.111146964,17
stay,15,0,0.1378046,15
stay,55,0,0.1203891,15
stay,4,0,0.045624785,15
stay,4,4,0.1836193,3
stay,7,1,0.24481921,12
stay,5,0,0.072527,16
delete,1,0,0.0,15
stay,4,11,0.04260347,15
stay,5,0,0.0585647,15
stay,9,0,0.039906375,17
stay,14,0,0.039491653,17
stay,10,0,0.43155435,15
stay,11,1,0.021626439,15
stay,7,0,0.67924476,15
delete,1,0,0.0,15
delete,1,0,0.0,15
stay,3,31,0.069911025,13
stay,12,0,0.09714636,17
stay,20,2,0.25640646,14
stay,27,0,0.062000334,15
stay,9,0,0.028174356,15
stay,3,20,0.13309555,20
stay,2,1,0.23101887,13
delete,6,0,0.0,15
stay,18,0,0.031158822,15
stay,7,0,0.027614187,17
stay,5,0,0.11594435,15
stay,10,21,0.23338702,14
delete,7,0,0.0,16
stay,5,10,0.1213561,15
stay,16,3,0.22664341,15
stay,16,0,0.07448744,17
delete,21,0,0.065593615,15
stay,27,4,0.18456061,12
stay,16,27,0.014357538,13
stay,5,16,0.44877595,9
stay,16,0,0.09936091,19
stay,8,0,0.23513564,20
stay,9,8,0.2828665,16
delete,7,0,0.026832765,19
stay,3,0,0.0585647,19
stay,7,0,0.019893965,19
delete,1,0,0.0,16
stay,12,6,0.15688205,12
stay,12,88,0.70521176,8
stay,7,4,0.14430356,15
delete,1,0,0.0,19
stay,15,0,0.08754784,15
stay,5,0,0.34364045,10
stay,1,30,0.0,13
stay,8,0,0.20565896,16
stay,12,15,0.1745473,13
delete,6,0,0.078418955,16
stay,22,0,0.1281374,15
stay,22,0,0.09267252,15
delete,6,0,0.034900922,16
stay,19,5,0.17913355,13
delete,14,0,0.05289094,16
stay,11,5,0.21468358,12
stay,2,1,0.5236524,9
stay,4,0,0.02375548,15
stay,13,0,0.13780545,16
delete,3,0,0.023625381,16
delete,10,0,0.014867711,18
delete,2,3,0.16260093,15
stay,1,5,0.59427506,3
stay,6,0,0.08062233,16
stay,3,0,0.46951452,8
stay,10,0,0.1981816,15
stay,22,2,0.1685612,10
stay,46,0,0.08900674,18
stay,2,11,0.21370016,14
delete,5,0,0.0,19
stay,4,0,0.5279527,10
stay,5,0,0.36080286,17
delete,11,0,0.087783314,18
stay,51,0,0.12923495,17
stay,20,0,0.22552036,17
stay,5,0,0.13002884,16
stay,27,2,0.2976262,9
stay,6,29,0.04873814,13
delete,9,0,0.06713162,16
stay,5,11,0.16559343,8
delete,1,0,0.0,17
stay,7,7,0.14335454,14
delete,9,0,0.03304517,15
delete,13,0,0.0419882,19
stay,8,0,0.0592966,19
stay,16,0,0.42922473,19
stay,7,0,0.3000616,14
stay,7,0,0.17193176,19
delete,15,0,0.014009003,15
stay,5,9,0.24007253,11
stay,8,0,0.13138422,15
delete,3,0,0.15282196,11
delete,4,0,0.016452566,17
delete,1,0,0.0,18
stay,8,9,0.19846267,8
delete,5,0,0.05573625,16
stay,10,0,0.24119012,16
delete,5,0,0.038449362,15
delete,13,0,0.038232557,17
stay,6,0,0.5509169,18
stay,20,98,0.060852103,16
stay,3,127,0.16652553,21
stay,10,0,0.064641625,15
stay,24,0,0.06308914,16
delete,5,0,0.022060491,15
stay,16,0,0.093689136,15
delete,5,1,0.38048196,12
delete,6,0,0.058928985,19
delete,18,0,0.009470472,16
delete,1,0,0.0,15
stay,17,98,0.027684728,11
delete,6,0,0.033411007,17
stay,12,0,0.24041764,19
delete,8,0,0.02173966,19
delete,3,0,0.0714079,15
delete,4,0,0.0,17
delete,2,0,0.066488914,15
stay,6,2,0.7076907,4
delete,2,0,0.0,16
delete,13,0,0.055107005,18
stay,2,1,0.25155115,8
stay,15,67,0.08648096,21
stay,90,0,0.102527775,16
delete,10,0,0.07834198,18
stay,10,77,0.045124352,11
delete,5,0,0.0,16
delete,3,0,0.05449099,16
stay,39,0,0.02308591,17
delete,8,0,0.04841604,15
stay,37,30,0.17608695,8
stay,12,1,0.19759227,9
delete,4,0,0.0706601,15
stay,14,0,0.22214666,14
stay,8,2,0.17632036,9
stay,2,98,0.24621218,7
delete,4,0,0.0808243,15
stay,1,0,0.0,15
stay,66,22,0.20711356,9
delete,2,0,0.008504852,19
delete,8,0,0.033534735,16
stay,14,1,0.23341371,14
stay,3,3,0.38048196,21
stay,12,16,0.35403246,8
delete,8,0,0.03786845,15
stay,13,1,0.22833374,8
stay,3,9,0.60165215,7
delete,7,0,0.008707296,19
stay,14,0,0.082440354,15
delete,16,0,0.038728334,17
stay,9,31,0.26205367,7
stay,2,15,0.17878777,15
delete,3,0,0.07752041,17
stay,7,19,0.25891903,8
stay,14,0,0.12670621,15
delete,24,0,0.035466522,15
stay,5,0,0.24886279,12
delete,9,0,0.031612955,16
delete,189,0,6.745958E-4,18
delete,16,0,0.051012773,16
delete,2,0,0.0,16
stay,2,0,0.1640615,19
delete,17,0,0.0048814407,19
stay,8,25,0.29291067,14
delete,10,0,0.027889075,17
stay,50,0,0.050910648,17
stay,4,0,0.09625786,16
delete,29,0,0.10363717,16
delete,11,0,0.016033288,15
delete,13,0,0.078392126,17
stay,20,0,0.07153951,15
stay,10,2,0.23174478,8
stay,5,6,0.20461407,14
stay,2,0,0.6646596,15
stay,20,0,0.026936507,19
stay,16,3,0.21033685,14
stay,10,11,0.3389123,14
stay,3,30,0.18293214,0
delete,10,0,0.042855255,16
stay,10,10,0.19884251,11
stay,6,17,0.065659836,13
stay,7,3,0.25680208,19
stay,13,38,0.08908877,13
stay,5,33,0.19832745,5
stay,55,2,0.17686835,10
delete,7,0,0.07041079,15
delete,5,0,0.018384404,15
stay,6,0,0.24301934,18
delete,16,0,0.015341604,15
delete,6,0,0.0,15
stay,1,9,0.20093,17
stay,33,0,0.03754189,17
stay,7,0,0.21387276,16
stay,6,4,0.4254323,14
delete,4,0,0.027903993,19
stay,19,0,0.12219098,16
stay,5,2,0.6509603,11
delete,3,0,0.11064988,17
delete,5,0,0.078611195,17
stay,1,1,0.52611303,9
delete,15,0,0.033154055,16
delete,40,0,0.08013266,17
stay,8,10,0.1933239,9
delete,10,0,0.029610954,17
delete,15,0,0.02641969,16
stay,2,28,0.13831894,17
stay,5,0,0.19338714,18
delete,5,0,0.0,16
stay,4,0,0.007062122,17
delete,13,0,0.05974484,16
stay,5,0,0.3191585,16
stay,21,0,0.017197566,16
stay,4,0,0.13756552,19
stay,14,0,0.055075236,17
stay,6,0,0.13941164,16
delete,3,0,0.06345113,19
delete,3,0,0.023712637,16
delete,10,0,0.056417055,15
stay,13,0,0.06442274,18
delete,2,0,0.06330162,19
stay,11,25,0.069083616,12
stay,23,0,0.08061102,15
stay,5,0,0.2124468,15
stay,5,0,0.02317675,15
stay,4,0,0.22873351,15
stay,15,2,0.20608495,14
delete,7,0,0.0059184954,17
stay,5,4,0.18049137,11
delete,27,0,0.06455783,15
stay,27,30,0.0982532,14
delete,4,0,0.036494903,15
stay,5,0,0.43422562,19
delete,26,0,0.06355775,16
stay,16,0,0.028896198,15
delete,9,0,0.024037715,18
stay,13,109,0.13136646,8
stay,4,0,0.28880686,17
stay,44,0,0.1420534,18
delete,8,0,0.04148812,15
delete,13,0,0.07430303,15
delete,3,0,0.110722646,19
delete,8,0,0.026716784,19
delete,44,0,0.04876805,17
delete,7,0,0.051621486,19
delete,17,0,0.027755423,17
stay,4,68,0.06539435,13
stay,2,3,0.5445166,9
delete,4,0,0.015332391,18
delete,6,0,0.076494284,19
stay,3,13,0.22174725,17
stay,9,56,0.051106557,9
stay,12,0,0.054854844,15
stay,18,51,0.014945356,16
delete,2,0,0.21435893,8
stay,6,9,0.20112066,14
delete,11,0,0.029610954,15
delete,5,0,0.047242325,18
delete,3,0,0.19773823,15
stay,5,56,0.05599221,9
stay,19,53,0.07683766,21
stay,4,0,0.043505047,15
stay,5,0,0.23101887,10
delete,5,0,0.10149234,18
stay,6,0,0.14091195,11
stay,5,40,0.50445217,21
stay,3,50,0.677368,21
delete,8,0,0.05327555,16
stay,2,3,0.22703573,21
stay,35,3,0.1475225,15
stay,13,25,0.22403118,8
stay,7,2,0.27629533,9
stay,8,6,0.44188473,8
stay,15,32,0.3255503,0
delete,13,0,0.046331614,19
delete,4,0,0.035385467,19
delete,5,0,0.0,18
stay,6,3,0.47302628,8
delete,5,0,0.058420744,18
stay,4,22,0.97425574,18
stay,12,60,0.07585597,21
stay,7,10,0.7288848,8
delete,9,0,0.08346732,15
stay,3,0,0.1450531,17
delete,1,0,0.0,15
stay,14,0,0.056185603,15
stay,4,1,0.25498185,13
delete,5,0,0.114343725,15
stay,27,13,0.50659966,16
stay,3,13,0.2977286,16
stay,19,0,0.03423939,16
delete,3,1,0.23015472,9
delete,12,0,0.08037829,18
stay,22,0,0.21993501,14
stay,90,0,0.09764307,17
stay,7,24,0.041464563,7
stay,14,23,0.02819173,13
stay,5,7,0.8433163,8
delete,8,0,0.03622527,17
stay,8,8,0.20310743,14
stay,21,0,0.05090297,17
stay,15,3,0.15843248,12
stay,6,0,0.117402,18
delete,7,0,0.0148711745,17
delete,14,0,0.046809763,16
delete,6,0,0.11350485,17
delete,38,0,7.859296E-5,18
stay,5,0,0.19859894,18
delete,2,0,0.0,16
delete,16,2,0.19758593,8
stay,9,0,0.24511297,18
stay,2,8,0.30515578,3
stay,23,0,0.095258296,15
stay,12,0,0.05133307,15
delete,29,0,0.0,19
stay,17,5,0.23334676,21
delete,6,0,0.0,15
delete,3,0,0.0,17
stay,15,21,0.041265257,11
delete,7,0,0.056297738,19
stay,18,0,0.15234815,14
stay,7,0,0.2744233,14
delete,11,0,0.2266457,12
delete,29,0,0.060587924,15
delete,3,0,0.018639017,17
stay,10,0,0.010164877,19
delete,1,0,0.0,19
delete,1,0,0.023712637,16
stay,23,31,0.09930188,11
delete,22,0,0.095277674,16
delete,12,0,0.033459928,15
stay,36,0,0.24348193,17
stay,26,135,0.0913756,21
